"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","spectral.blur.ratio"
"200303-003.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_1","200303-000.wav_2-1","0.80645487086183"
"200303-003.wav_3",1,0.04,0.24002267573696,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_2","200303-000.wav_3-1","0.459178117520212"
"200303-003.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_3","200303-000.wav_4-1","0.384387362444115"
"200303-003.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_4","200303-000.wav_5-1","0.852065366028319"
"200303-003.wav_6",1,0.04,0.240022675736957,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_5","200303-000.wav_6-1","0.822125028409961"
"200303-003.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_6","200303-000.wav_7-1","0.732451363187592"
"200303-003.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_7","200303-000.wav_8-1","0.332588729746818"
"200303-003.wav_9",1,0.04,0.24002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_8","200303-000.wav_9-1","Error in rfrnc.spc - sgnl.spc : arreglos de dimensón no compatibles
"
"200303-003.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_9","200303-000.wav_10-1","0.265120085299775"
"200303-003.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",24.1,0.39,100,"abierta",1,"0.2_BB_am_no.harm.wav_10","200303-000.wav_11-1","0.793351762686663"
