"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","envelope.correlation"
"200303-001.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_1","200303-000.wav_2-1",0.963009162652997
"200303-001.wav_3",1,0.04,0.24002267573696,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_2","200303-000.wav_3-1",0.898987724164049
"200303-001.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_3","200303-000.wav_4-1",0.887541462418264
"200303-001.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_4","200303-000.wav_5-1",0.941499489696617
"200303-001.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_5","200303-000.wav_6-1",0.832084599570602
"200303-001.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_6","200303-000.wav_7-1",0.951148628128787
"200303-001.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_7","200303-000.wav_8-1",0.963181691533951
"200303-001.wav_9",1,0.04,0.24002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_8","200303-000.wav_9-1",0.893619824811012
"200303-001.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_9","200303-000.wav_10-1",0.952986086029074
"200303-001.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_10","200303-000.wav_11-1",0.950195446929356
"200303-001.wav_12",1,0.04,0.240022675736967,1.474,2.55,"0.2_BB_am_no.harm.wav_11","simulations",NA,"0.2_BB_am_no.harm.wav_11",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_11","200303-000.wav_12-1",0.946692569721064
"200303-001.wav_13",1,0.04,0.24002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12","simulations",NA,"0.2_BB_am_no.harm.wav_12",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_12","200303-000.wav_13-1",0.943209860171105
"200303-001.wav_14",1,0.04,0.24002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13","simulations",NA,"0.2_BB_am_no.harm.wav_13",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_13","200303-000.wav_14-1",0.972873314643457
"200303-001.wav_15",1,0.04,0.24002267573696,0.1,0.81,"0.2_BB_am_no.harm.wav_14","simulations",NA,"0.2_BB_am_no.harm.wav_14",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_14","200303-000.wav_15-1",0.823053126552627
"200303-001.wav_16",1,0.04,0.24002267573696,5.396,6.152,"0.2_BB_am_no.harm.wav_15","simulations",NA,"0.2_BB_am_no.harm.wav_15",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_15","200303-000.wav_16-1",0.905416062712506
"200303-001.wav_17",1,0.04,0.24002267573696,9.435,10.377,"0.2_BB_am_no.harm.wav_16","simulations",NA,"0.2_BB_am_no.harm.wav_16",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_16","200303-000.wav_17-1",0.922104073132059
"200303-001.wav_18",1,0.04,0.24002267573696,1.23,2.525,"0.2_BB_am_no.harm.wav_17","simulations",NA,"0.2_BB_am_no.harm.wav_17",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_17","200303-000.wav_18-1",0.947798058680145
"200303-001.wav_19",1,0.04,0.240022675736967,0.836,1.646,"0.2_BB_am_no.harm.wav_18","simulations",NA,"0.2_BB_am_no.harm.wav_18",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_18","200303-000.wav_19-1",0.932936370685881
"200303-001.wav_20",1,0.04,0.24002267573696,5.718,7.372,"0.2_BB_am_no.harm.wav_19","simulations",NA,"0.2_BB_am_no.harm.wav_19",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_19","200303-000.wav_20-1",0.889115864003089
"200303-001.wav_21",1,0.04,0.24002267573696,4.792,5.287,"0.2_BB_am_no.harm.wav_20","simulations",NA,"0.2_BB_am_no.harm.wav_20",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_20","200303-000.wav_21-1",0.853612577027754
"200303-001.wav_22",1,0.04,0.24002267573696,2.461,3.506,"0.2_BB_am_no.harm.wav_21","simulations",NA,"0.2_BB_am_no.harm.wav_21",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_21","200303-000.wav_22-1",0.960519247936165
"200303-001.wav_23",1,0.04,0.24002267573696,0.365,1.098,"0.2_BB_am_no.harm.wav_22","simulations",NA,"0.2_BB_am_no.harm.wav_22",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_22","200303-000.wav_23-1",0.892059433629517
"200303-001.wav_24",1,0.04,0.24002267573696,7.176,7.777,"0.2_BB_am_no.harm.wav_23","simulations",NA,"0.2_BB_am_no.harm.wav_23",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_23","200303-000.wav_24-1",0.918370220797538
"200303-001.wav_25",1,0.04,0.240022675736975,3.654,5,"0.2_BB_am_no.harm.wav_24","simulations",NA,"0.2_BB_am_no.harm.wav_24",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_24","200303-000.wav_25-1",0.886384538877926
"200303-001.wav_26",1,0.04,0.240022675736967,8.5,9.652,"0.2_BB_am_no.harm.wav_25","simulations",NA,"0.2_BB_am_no.harm.wav_25",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_25","200303-000.wav_26-1",0.925758845247257
"200303-001.wav_27",1,0.04,0.24002267573696,4.933,6.011,"0.2_BB_am_no.harm.wav_26","simulations",NA,"0.2_BB_am_no.harm.wav_26",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_26","200303-000.wav_27-1",0.929547760752618
"200303-001.wav_28",1,0.04,0.24002267573696,9.013,10.015,"0.2_BB_am_no.harm.wav_27","simulations",NA,"0.2_BB_am_no.harm.wav_27",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_27","200303-000.wav_28-1",0.943702665943381
"200303-001.wav_29",1,0.04,0.24002267573696,3.624,4.12,"0.2_BB_am_no.harm.wav_28","simulations",NA,"0.2_BB_am_no.harm.wav_28",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_28","200303-000.wav_29-1",0.923582523184041
"200303-001.wav_30",1,0.04,0.24002267573696,5.027,5.695,"0.2_BB_am_no.harm.wav_29","simulations",NA,"0.2_BB_am_no.harm.wav_29",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_29","200303-000.wav_30-1",0.858751126820164
"200303-001.wav_31",1,0.04,0.24002267573696,4.788,5.593,"0.2_BB_am_no.harm.wav_30","simulations",NA,"0.2_BB_am_no.harm.wav_30",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_30","200303-000.wav_31-1",0.844617319005152
"200303-001.wav_32",1,0.04,0.240022675736967,8.076,9.5,"0.2_BB_am_no.harm.wav_31","simulations",NA,"0.2_BB_am_no.harm.wav_31",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_31","200303-000.wav_32-1",0.942745290519887
"200303-001.wav_33",1,0.04,0.240022675736996,3.158,4.333,"0.2_BB_am_no.harm.wav_32","simulations",NA,"0.2_BB_am_no.harm.wav_32",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_32","200303-000.wav_33-1",0.933160111027827
"200303-001.wav_34",1,0.04,0.240022675736896,5.941,7.32,"0.2_BB_am_no.harm.wav_33","simulations",NA,"0.2_BB_am_no.harm.wav_33",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_33","200303-000.wav_34-1",0.921131806292135
"200303-001.wav_35",1,0.04,0.240022675736996,6.838,7.5,"0.2_BB_am_no.harm.wav_34","simulations",NA,"0.2_BB_am_no.harm.wav_34",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_34","200303-000.wav_35-1",0.937744970068775
"200303-001.wav_36",1,0.04,0.240022675736996,2.66,3.141,"0.2_BB_am_no.harm.wav_35","simulations",NA,"0.2_BB_am_no.harm.wav_35",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_35","200303-000.wav_36-1",0.975966071118725
"200303-001.wav_37",1,0.04,0.240022675736896,1,2.164,"0.2_BB_am_no.harm.wav_36","simulations",NA,"0.2_BB_am_no.harm.wav_36",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_36","200303-000.wav_37-1",0.950368712014961
"200303-001.wav_38",1,0.04,0.240022675737003,2.077,2.5,"0.2_BB_am_no.harm.wav_37","simulations",NA,"0.2_BB_am_no.harm.wav_37",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_37","200303-000.wav_38-1",0.888952253494199
"200303-001.wav_39",1,0.04,0.240022675736903,6.752,7.606,"0.2_BB_am_no.harm.wav_38","simulations",NA,"0.2_BB_am_no.harm.wav_38",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_38","200303-000.wav_39-1",0.869054551374449
"200303-001.wav_40",1,0.04,0.240022675737003,0.5,1.555,"0.2_BB_am_no.harm.wav_39","simulations",NA,"0.2_BB_am_no.harm.wav_39",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_39","200303-000.wav_40-1",0.920789257314543
"200303-001.wav_41",1,0.04,0.240022675737003,4.209,4.815,"0.2_BB_am_no.harm.wav_40","simulations",NA,"0.2_BB_am_no.harm.wav_40",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_40","200303-000.wav_41-1",0.937652800851308
"200303-001.wav_42",1,0.04,0.240022675736903,5.764,6.869,"0.2_BB_am_no.harm.wav_41","simulations",NA,"0.2_BB_am_no.harm.wav_41",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_41","200303-000.wav_42-1",0.915238622080353
"200303-001.wav_43",1,0.04,0.240022675737003,7.989,9.542,"0.2_BB_am_no.harm.wav_42","simulations",NA,"0.2_BB_am_no.harm.wav_42",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_42","200303-000.wav_43-1",0.627208274832788
"200303-001.wav_44",1,0.04,0.240022675736903,5.973,6.905,"0.2_BB_am_no.harm.wav_43","simulations",NA,"0.2_BB_am_no.harm.wav_43",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_43","200303-000.wav_44-1",0.962287465720573
"200303-001.wav_45",1,0.04,0.240022675737003,3.013,3.733,"0.2_BB_am_no.harm.wav_44","simulations",NA,"0.2_BB_am_no.harm.wav_44",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_44","200303-000.wav_45-1",0.872229480100771
"200303-001.wav_46",1,0.04,0.240022675736996,9.733,10.857,"0.2_BB_am_no.harm.wav_45","simulations",NA,"0.2_BB_am_no.harm.wav_45",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_45","200303-000.wav_46-1",0.889944388548395
"200303-001.wav_47",1,0.04,0.240022675736896,8.284,9.321,"0.2_BB_am_no.harm.wav_46","simulations",NA,"0.2_BB_am_no.harm.wav_46",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_46","200303-000.wav_47-1",0.932648802607449
"200303-001.wav_48",1,0.04,0.240022675736996,8,8.539,"0.2_BB_am_no.harm.wav_47","simulations",NA,"0.2_BB_am_no.harm.wav_47",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_47","200303-000.wav_48-1",0.956568770436815
"200303-001.wav_49",1,0.04,0.240022675736996,2.366,3.388,"0.2_BB_am_no.harm.wav_48","simulations",NA,"0.2_BB_am_no.harm.wav_48",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_48","200303-000.wav_49-1",0.945413094554223
"200303-001.wav_50",1,0.04,0.240022675736996,1.048,2.28,"0.2_BB_am_no.harm.wav_49","simulations",NA,"0.2_BB_am_no.harm.wav_49",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_49","200303-000.wav_50-1",0.958828077359099
"200303-001.wav_51",1,0.04,0.240022675736996,7.427,8.24,"0.2_BB_am_no.harm.wav_50","simulations",NA,"0.2_BB_am_no.harm.wav_50",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_50","200303-000.wav_51-1",0.965109499662219
"200303-001.wav_52",1,0.04,0.240022675736896,1.396,2.385,"0.2_BB_am_no.harm.wav_51","simulations",NA,"0.2_BB_am_no.harm.wav_51",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_51","200303-000.wav_52-1",0.899053661463402
"200303-001.wav_53",1,0.04,0.240022675736996,3.882,5.129,"0.2_BB_am_no.harm.wav_52","simulations",NA,"0.2_BB_am_no.harm.wav_52",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_52","200303-000.wav_53-1",0.923636546809527
"200303-001.wav_54",1,0.04,0.240022675736996,8.618,9.923,"0.2_BB_am_no.harm.wav_53","simulations",NA,"0.2_BB_am_no.harm.wav_53",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_53","200303-000.wav_54-1",0.952937618431646
"200303-001.wav_55",1,0.04,0.240022675736896,3.511,4.562,"0.2_BB_am_no.harm.wav_54","simulations",NA,"0.2_BB_am_no.harm.wav_54",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_54","200303-000.wav_55-1",0.744014546378438
"200303-001.wav_56",1,0.04,0.240022675737003,4.983,6.01,"0.2_BB_am_no.harm.wav_55","simulations",NA,"0.2_BB_am_no.harm.wav_55",24,0.31,30,"abierta",1,"0.2_BB_am_no.harm.wav_55","200303-000.wav_56-1",0.853733761340514
