"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","blur.ratio"
"200303-003.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",0.174272361648005
"200303-003.wav_963",1,0.04,0.180907029478001,3.3411,5.0912,"Haemorhous-mexicanus-13700.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_2",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_2","200303-000.wav_963-1",0.232914836595769
"200303-003.wav_964",1,0.04,0.160793650793985,2.2274,4.6139,"Haemorhous-mexicanus-13700.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_3",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_3","200303-000.wav_964-1",0.22975437535147
"200303-003.wav_965",1,0.04,0.166984126984013,2.8638,4.6934,"Haemorhous-mexicanus-13700.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_4",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_4","200303-000.wav_965-1",0.143057237993669
"200303-003.wav_966",1,0.04,0.185555555556001,3.182,5.3298,"Haemorhous-mexicanus-13700.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_5",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_5","200303-000.wav_966-1",0.241640421509487
"200303-003.wav_967",1,0.04,0.0973015873009979,2.2274,4.8525,"Haemorhous-mexicanus-13700.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_6",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_6","200303-000.wav_967-1",0.132221115976874
"200303-003.wav_968",1,0.04,0.109705215420015,3.5797,7.955,"Haemorhous-mexicanus-13700.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_7",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_7","200303-000.wav_968-1",0.23560334476536
"200303-003.wav_969",1,0.04,0.163877551020001,1.9887,3.9775,"Haemorhous-mexicanus-13700.wav_8","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_8",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_8","200303-000.wav_969-1",0.0935426972722551
"200303-003.wav_970",1,0.04,0.132925170067986,2.1478,3.4206,"Haemorhous-mexicanus-13700.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_9",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_9","200303-000.wav_970-1",0.0832882751910983
"200303-003.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",0.0641632787424286
"200303-003.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",0.200877613044416
"200303-003.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",0.11087869426407
"200303-003.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",0.0872740971627007
"200303-003.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",0.129026472217601
"200303-003.wav_976",1,0.04,0.126734693876991,1.6705,5.3298,"Haemorhous-mexicanus-13700.wav_15","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_15",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_15","200303-000.wav_976-1",0.0767830322773562
"200303-003.wav_977",1,0.04,0.34503401360599,1.4319,7.7163,"Haemorhous-mexicanus-13700.wav_16","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_16",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_16","200303-000.wav_977-1",0.14579378415331
"200303-003.wav_978",1,0.04,0.383741496598,1.5114,6.0458,"Haemorhous-mexicanus-13700.wav_17","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_17",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_17","200303-000.wav_978-1",0.111710548514515
"200303-003.wav_979",1,0.04,0.382199546486,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_18","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_18",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-13700.wav_18","200303-000.wav_979-1",0.13619832134625
"200303-003.wav_980",1,0.04,0.143764172334991,2.6251,5.2105,"Haemorhous-mexicanus-220518.wav_1","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_1",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-220518.wav_1","200303-000.wav_980-1",0.184097945899787
"200303-003.wav_981",1,0.04,0.163877551020996,1.8694,3.6195,"Haemorhous-mexicanus-220518.wav_2","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_2",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-220518.wav_2","200303-000.wav_981-1",0.10097398354858
"200303-003.wav_982",1,0.04,0.13446712018098,2.9036,5.5685,"Haemorhous-mexicanus-220518.wav_3","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_3",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-220518.wav_3","200303-000.wav_982-1",0.0993601142284133
"200303-003.wav_983",1,0.04,0.185555555556001,3.0229,5.7673,"Haemorhous-mexicanus-220518.wav_4","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_4",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-220518.wav_4","200303-000.wav_983-1",0.104995499263173
"200303-003.wav_984",1,0.04,0.201043083900012,2.9831,5.6878,"Haemorhous-mexicanus-220518.wav_5","Paulina","desierto_abierto","Haemorhous-mexicanus-220518.wav_5",24.1,0.39,100,"abierta",1,"Haemorhous-mexicanus-220518.wav_5","200303-000.wav_984-1",0.174768814581107
