"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","envelope.correlation"
"200303-006.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",0.861154776541558
"200303-006.wav_963",1,0.04,0.180907029478001,3.3411,5.0912,"Haemorhous-mexicanus-13700.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_2",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_2","200303-000.wav_963-1",0.838652126083989
"200303-006.wav_964",1,0.04,0.160793650793985,2.2274,4.6139,"Haemorhous-mexicanus-13700.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_3",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_3","200303-000.wav_964-1",0.858149980481476
"200303-006.wav_965",1,0.04,0.166984126984013,2.8638,4.6934,"Haemorhous-mexicanus-13700.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_4",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_4","200303-000.wav_965-1",0.901451312563033
"200303-006.wav_966",1,0.04,0.185555555556001,3.182,5.3298,"Haemorhous-mexicanus-13700.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_5",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_5","200303-000.wav_966-1",0.872680554691388
"200303-006.wav_967",1,0.04,0.0973015873009979,2.2274,4.8525,"Haemorhous-mexicanus-13700.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_6",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_6","200303-000.wav_967-1",0.795079486002515
"200303-006.wav_968",1,0.04,0.109705215420015,3.5797,7.955,"Haemorhous-mexicanus-13700.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_7",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_7","200303-000.wav_968-1",0.862127585250275
"200303-006.wav_969",1,0.04,0.163877551020001,1.9887,3.9775,"Haemorhous-mexicanus-13700.wav_8","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_8",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_8","200303-000.wav_969-1",0.851823349420095
"200303-006.wav_970",1,0.04,0.132925170067986,2.1478,3.4206,"Haemorhous-mexicanus-13700.wav_9","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_9",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_9","200303-000.wav_970-1",0.977700674029339
"200303-006.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",25.1,0.31,10,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",0.820633772352755
